# @missing: 0000..10FFFF; NFKC_QC; Yes
00A0          ; NFKC_QC; N # Zs       NO-BREAK SPACE
00A8          ; NFKC_QC; N # Sk       DIAERESIS
00AA          ; NFKC_QC; N # Lo       FEMININE ORDINAL INDICATOR
00AF          ; NFKC_QC; N # Sk       MACRON
00B2..00B3    ; NFKC_QC; N # No   [2] SUPERSCRIPT TWO..SUPERSCRIPT THREE
00B4          ; NFKC_QC; N # Sk       ACUTE ACCENT
00B5          ; NFKC_QC; N # L&       MICRO SIGN
00B8          ; NFKC_QC; N # Sk       CEDILLA
00B9          ; NFKC_QC; N # No       SUPERSCRIPT ONE
00BA          ; NFKC_QC; N # Lo       MASCULINE ORDINAL INDICATOR
00BC..00BE    ; NFKC_QC; N # No   [3] VULGAR FRACTION ONE QUARTER..VULGAR FRACTION THREE QUARTERS
0132..0133    ; NFKC_QC; N # L&   [2] LATIN CAPITAL LIGATURE IJ..LATIN SMALL LIGATURE IJ
013F..0140    ; NFKC_QC; N # L&   [2] LATIN CAPITAL LETTER L WITH MIDDLE DOT..LATIN SMALL LETTER L WITH MIDDLE DOT
0149          ; NFKC_QC; N # L&       LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
017F          ; NFKC_QC; N # L&       LATIN SMALL LETTER LONG S
01C4..01CC    ; NFKC_QC; N # L&   [9] LATIN CAPITAL LETTER DZ WITH CARON..LATIN SMALL LETTER NJ
01F1..01F3    ; NFKC_QC; N # L&   [3] LATIN CAPITAL LETTER DZ..LATIN SMALL LETTER DZ
02B0..02B8    ; NFKC_QC; N # Lm   [9] MODIFIER LETTER SMALL H..MODIFIER LETTER SMALL Y
02D8..02DD    ; NFKC_QC; N # Sk   [6] BREVE..DOUBLE ACUTE ACCENT
02E0..02E4    ; NFKC_QC; N # Lm   [5] MODIFIER LETTER SMALL GAMMA..MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
0340..0341    ; NFKC_QC; N # Mn   [2] COMBINING GRAVE TONE MARK..COMBINING ACUTE TONE MARK
0343..0344    ; NFKC_QC; N # Mn   [2] COMBINING GREEK KORONIS..COMBINING GREEK DIALYTIKA TONOS
0374          ; NFKC_QC; N # Lm       GREEK NUMERAL SIGN
037A          ; NFKC_QC; N # Lm       GREEK YPOGEGRAMMENI
037E          ; NFKC_QC; N # Po       GREEK QUESTION MARK
0384..0385    ; NFKC_QC; N # Sk   [2] GREEK TONOS..GREEK DIALYTIKA TONOS
0387          ; NFKC_QC; N # Po       GREEK ANO TELEIA
03D0..03D6    ; NFKC_QC; N # L&   [7] GREEK BETA SYMBOL..GREEK PI SYMBOL
03F0..03F2    ; NFKC_QC; N # L&   [3] GREEK KAPPA SYMBOL..GREEK LUNATE SIGMA SYMBOL
03F4..03F5    ; NFKC_QC; N # L&   [2] GREEK CAPITAL THETA SYMBOL..GREEK LUNATE EPSILON SYMBOL
03F9          ; NFKC_QC; N # L&       GREEK CAPITAL LUNATE SIGMA SYMBOL
0587          ; NFKC_QC; N # L&       ARMENIAN SMALL LIGATURE ECH YIWN
0675..0678    ; NFKC_QC; N # Lo   [4] ARABIC LETTER HIGH HAMZA ALEF..ARABIC LETTER HIGH HAMZA YEH
0958..095F    ; NFKC_QC; N # Lo   [8] DEVANAGARI LETTER QA..DEVANAGARI LETTER YYA
09DC..09DD    ; NFKC_QC; N # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF          ; NFKC_QC; N # Lo       BENGALI LETTER YYA
0A33          ; NFKC_QC; N # Lo       GURMUKHI LETTER LLA
0A36          ; NFKC_QC; N # Lo       GURMUKHI LETTER SHA
0A59..0A5B    ; NFKC_QC; N # Lo   [3] GURMUKHI LETTER KHHA..GURMUKHI LETTER ZA
0A5E          ; NFKC_QC; N # Lo       GURMUKHI LETTER FA
0B5C..0B5D    ; NFKC_QC; N # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0E33          ; NFKC_QC; N # Lo       THAI CHARACTER SARA AM
0EB3          ; NFKC_QC; N # Lo       LAO VOWEL SIGN AM
0EDC..0EDD    ; NFKC_QC; N # Lo   [2] LAO HO NO..LAO HO MO
0F0C          ; NFKC_QC; N # Po       TIBETAN MARK DELIMITER TSHEG BSTAR
0F43          ; NFKC_QC; N # Lo       TIBETAN LETTER GHA
0F4D          ; NFKC_QC; N # Lo       TIBETAN LETTER DDHA
0F52          ; NFKC_QC; N # Lo       TIBETAN LETTER DHA
0F57          ; NFKC_QC; N # Lo       TIBETAN LETTER BHA
0F5C          ; NFKC_QC; N # Lo       TIBETAN LETTER DZHA
0F69          ; NFKC_QC; N # Lo       TIBETAN LETTER KSSA
0F73          ; NFKC_QC; N # Mn       TIBETAN VOWEL SIGN II
0F75..0F79    ; NFKC_QC; N # Mn   [5] TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC LL
0F81          ; NFKC_QC; N # Mn       TIBETAN VOWEL SIGN REVERSED II
0F93          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER GHA
0F9D          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER DDHA
0FA2          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER DHA
0FA7          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER BHA
0FAC          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER DZHA
0FB9          ; NFKC_QC; N # Mn       TIBETAN SUBJOINED LETTER KSSA
10FC          ; NFKC_QC; N # Lm       MODIFIER LETTER GEORGIAN NAR
1D2C..1D2E    ; NFKC_QC; N # Lm   [3] MODIFIER LETTER CAPITAL A..MODIFIER LETTER CAPITAL B
1D30..1D3A    ; NFKC_QC; N # Lm  [11] MODIFIER LETTER CAPITAL D..MODIFIER LETTER CAPITAL N
1D3C..1D4D    ; NFKC_QC; N # Lm  [18] MODIFIER LETTER CAPITAL O..MODIFIER LETTER SMALL G
1D4F..1D6A    ; NFKC_QC; N # Lm  [28] MODIFIER LETTER SMALL K..GREEK SUBSCRIPT SMALL LETTER CHI
1D78          ; NFKC_QC; N # Lm       MODIFIER LETTER CYRILLIC EN
1D9B..1DBF    ; NFKC_QC; N # Lm  [37] MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER LETTER SMALL THETA
1E9A..1E9B    ; NFKC_QC; N # L&   [2] LATIN SMALL LETTER A WITH RIGHT HALF RING..LATIN SMALL LETTER LONG S WITH DOT ABOVE
1F71          ; NFKC_QC; N # L&       GREEK SMALL LETTER ALPHA WITH OXIA
1F73          ; NFKC_QC; N # L&       GREEK SMALL LETTER EPSILON WITH OXIA
1F75          ; NFKC_QC; N # L&       GREEK SMALL LETTER ETA WITH OXIA
1F77          ; NFKC_QC; N # L&       GREEK SMALL LETTER IOTA WITH OXIA
1F79          ; NFKC_QC; N # L&       GREEK SMALL LETTER OMICRON WITH OXIA
1F7B          ; NFKC_QC; N # L&       GREEK SMALL LETTER UPSILON WITH OXIA
1F7D          ; NFKC_QC; N # L&       GREEK SMALL LETTER OMEGA WITH OXIA
1FBB          ; NFKC_QC; N # L&       GREEK CAPITAL LETTER ALPHA WITH OXIA
1FBD          ; NFKC_QC; N # Sk       GREEK KORONIS
1FBE          ; NFKC_QC; N # L&       GREEK PROSGEGRAMMENI
1FBF..1FC1    ; NFKC_QC; N # Sk   [3] GREEK PSILI..GREEK DIALYTIKA AND PERISPOMENI
